heading,bias_true,bias_pred
"Wild weather this year shows growing impact of climate change, scientists say",Center,Center
Corporate broadcast TV news fails to make crucial connection between record-breaking California wildfires and climate crisis,Left,Left
What Does Steve Bannon Want?,Left,Right
Where did Steve Bannon get his worldview? From my book.,Left,Center
Steve Bannon outlines his plan to 'deconstruct' Washington,Left,Right
White House officials eyeing payroll tax cut in effort to reverse weakening economy,Left,Center
White House denies exploring payroll tax cut to offset worsening economy,Center,Center
Team Trump eyes payroll tax cut to spur economy: report,Right,Center
Trump threatens to fire Fauci in rift with disease expert,Left,Center
Trump Hints at Firing Fauci After Election,Right,Right
Trump hints that he’ll fire Fauci after Election Day,Left,Right
"Clinton Leads Nationally, But Struggles In Some Battleground States",Left,Center
Trump and Clinton Tied in Latest Poll,Left,Center
"Trump surges in battleground, national polls",Right,Center
Obama cancels Putin meeting over Snowden asylum,Right,Center
Obama Cancels One-On-One Meeting With Putin,Left,Neutral
Obama Cancels Meeting With Putin Over Snowden,Left,Center
"George Will: Ã¢â‚¬ËœQuite Literally, The Opposition to Gay Marriage Is DyingÃ¢â‚¬â„¢",Left,Right
Same-sex couples in Washington start taking wedding vows,Right,Center
Same-Sex Issue Pushes Justices Into Overdrive,Left,Neutral
Judge orders New York Times to get rid of Project Veritas memos,Center,Center
Project Veritas Scores ANOTHER victory with Judge’s order in defamation lawsuit against New York Times,Right,Right
A Dangerous Court Order Against The New York Times,Left,Center
US to Send Ukraine Advanced Rockets; Kyiv Promises Not to Fire Into Russia,Center,Neutral
Biden approves sending advanced rockets to Ukraine,Right,Neutral
Biden admin will provide Ukraine with longer-range rocket systems,Left,Neutral
"Portland mayor tear-gassed by federal agents, riot declared",Right,Center
Portland mayor tear gassed after speaking with protesters on presence of federal agents,Left,Center
Portland mayor tear gassed alongside protesters,Center,Center
U.S. FDA to bring outside experts to review COVID-19 vaccines,Center,Center
"Large study shows COVID-19 antibodies last 4 months, bolstering vaccine hopes",Right,Center
Fauci predicts 'safe and effective' coronavirus vaccine by end of year,Left,Center
Kremlin: Report of Putin meddling in U.S. election is 'nonsense',Left,Center
"Putin Personally Managed Hacks, Had ‘Vendetta’ Against Hillary",Right,Left
U.S. Officials: Putin Personally Involved in U.S. Election Hack,Left,Left
Hillary's Numbers Plunge in Wake of ‘Clinton Cash Revelations,Right,Right
Poll: New speed bumps for Clinton,Left,Neutral
"Frontrunner angst: Bush lead evaporates, Clinton favorability hits 7-year low",Left,Center
At Least 150 Killed in Shootings Across the U.S. During July 4th Weekend,Left,Neutral
Bloody July Fourth weekend leaves 150 fatally shot in more than 400 shootings nationwide,Right,Center
4th Of July Shootings Across The Country Kill More Than 180 This Year,Left,Center
Democrats: Amy Coney Barrett Will Strip Millions of Health Insurance,Left,Left
"Amy Coney Barrett nominated by Trump for Supreme Court, setting up contentious battle weeks before election",Right,Center
"Trump taps Amy Coney Barrett for Supreme Court, setting up confirmation sprint",Center,Center
First federal execution in 17 years carried out in Indiana after Supreme Court cleared way,Left,Center
US carries out first federal execution in 17 years,Right,Neutral
First federal prisoner in 17 years executed hours after Supreme Court decision,Center,Neutral
"At Bipartisan Budget Meeting, Familiar Hurdles but a New Attitude",Left,Center
Pressure intensifies for GOP to raise taxes on rich,Right,Left
Obama Asks for Prayer on Budget Deal,Left,Center
Donald Trump: Democrats 'Medicare for All' plan will demolish promises to seniors,Right,Right
Trump rips Dems’ embrace of Medicare for all: ‘The centrist Democratic Party is dead’,Center,Right
Trump files op-ed bashing Democrats on Medicare for all,Left,Right
U.S. judge refuses to toss suit against Trump on foreign payments,Center,Center
Judge allows emoluments lawsuit against Trump to go forward,Right,Center
Judge rules Trump can be sued for profits at Trump International Hotel in D.C.,Left,Center
"Trump impeachment backfires on Democrats, and Nancy Pelosi has a meltdown",Right,Right
Why Mitt Romney's courageous vote to convict Trump matters,Center,Left
Acquittal is not exoneration,Left,Center
Armed Extremists Just Escalated Oregon’s Fight Over Climate Legislation,Left,Left
Runaway Oregon Republicans ready to dodge state troopers until legislative clock runs out,Right,Left
Oregon GOP lawmakers who fled capitol to avoid climate bill vote face $500 daily fines,Center,Left
Obama Convention Bounce Confirmed In Latest Tracking Polls,Left,Center
"Confirmed: Despite Recycled DNC Speech, Obama Gets Poll Bounce",Right,Center
"Obama Got The Convention Bounce, As Well As Bad Economic Numbers",Left,Center
"CDC ‘Revises’ Mask Guidance: Some Vaccinated Individuals Should Return To Masking Indoors, Everyone Should Mask In K-12 Schools",Right,Center
CDC: Vaccinated people should now wear masks in high transmission areas,Center,Center
"CDC updates guidance, recommends vaccinated people wear masks indoors in certain areas",Left,Center
"Republicans sharpen 'fraud' claims, Democrats compare Scott to a 'dictator' as Florida recount ramps up",Left,Center
Florida Recounts Begin as Both Sides Dig In for Fight,Center,Center
Rick Scott challenges ballots counted after deadline as Florida recount drama begins,Right,Center
The Pull and Push Of The Unemployment Debate,Left,Center
Divided Senate To Vote On Extending Unemployment Benefits,Left,Center
Showdown set on unemployment bill in Senate,Right,Center
Obama: Congress endangers national security with Lynch delay,Right,Center
Eric Holder: Attorney General for life?,Left,Neutral
Obama On Loretta Lynch: 'You Don't Hold Attorney General Nominees Hostage',Left,Neutral
Ind. to ‘clarify’ new law decried as anti-gay,Left,Center
"Pence vows to 'fix' religious freedom law, ensure 'no license to discriminate'",Right,Left
OPINION: The insane national freak-out over Indiana's religious freedom law,Left,Left
Fact checking the 2015 State of the Union address,Left,Center
Fact-checking Obama's 'State of the Union' address (+video),Center,Center
Obama’s State of the Union Speech Gets Fact-Checked,Right,Center
Ted Cruz Wins Wyoming Presidential Nominating Contest,Left,Neutral
"Fresh Off Wyoming Sweep, Cruz Targets More Trump Supporters",Right,Center
Trump massacred in delegate fights once more,Left,Left
Stephen Miller Is an Immigration Hypocrite. I Know Because I’m His Uncle.,Left,Left
"Stephen Miller’s uncle calls Miller an ‘immigration hypocrite,’ compares Trump to Nazis",Center,Left
Immigration and the ‘Hypocrisy’ Charge,Right,Center
Justice Department appeals latest travel ban setback to Supreme Court,Left,Center
Trump administration appeals Hawaii court ruling on travel ban,Right,Neutral
Trump administration says it will go to Supreme Court after Hawaii judge expands travel ban exemptions,Left,Center
Trump pulls security clearance of ex-CIA Director John Brennan,Left,Right
OPINION: Trump is wrong to suspend John Brennan's clearance,Right,Left
Trump ties revoking Brennan clearance to Russia probe,Center,Center
Presidential Election: Trump Goes on the Attack as Early Voting Shapes Campaign’s Final Weekend,Left,Center
Florida Early Voting Nears 5.3 Million,Right,Neutral
Early Voting Data Shows Who’s Turning Out,Center,Center
Stormy Daniels: Trump discloses payment to reimburse lawyer,Center,Neutral
Trump Finally Fesses Up to Reimbursing Michael Cohen,Left,Center
Trump met federal disclosure requirement by reimbursing Cohen for Stormy Daniels payment: Government,Right,Center
Evasive COVID-19 subvariants that you don’t know about are spreading fast,Center,Center
What the White House sees coming for COVID this winter,Left,Center
What to know about new COVID variants BQ.1 and BQ1.1,Right,Center
"Obama: Russia Doesn't Share US Values, Putin 'Protecting' Assad",Right,Left
Sen. John McCain: Russia not serious on Syria,Left,Center
"Obama: 'Trust, but verify' on Putin's Syria plan",Left,Center
"Trump to CPAC: ‘Now you finally have a president, finally’",Left,Right
Trump At CPAC: 'The Era Of Empty Talk Is Over',Left,Center
"Trump hails conservative support at CPAC, slams ‘fake’ media",Right,Right
Hot November inflation report was probably the best the White House could have hoped for at this point,Center,Center
The Inflation Suspense Goes On,Left,Center
Inflation — from WIN to DIN,Right,Neutral
House Republicans Unveil Tax-Cut Bill Ahead of Election Push,Left,Center
House Republicans move to lock in cuts with Tax Reform 2.0,Right,Center
House Republicans seek permanent tax cuts as elections loom,Left,Center
"U.S. job market stumbles in May, adding just 138,000 jobs",Left,Neutral
"May Jobs Report: 138,000 More On Payrolls; Unemployment Dips Slightly",Left,Center
Unemployment at 16-Year Low in May Jobs Report,Right,Center
Defiant Trump refuses to apologize to McCain,Left,Right
"Donald Trump Says John McCain Is No War Hero, Setting Off Another Storm",Left,Neutral
"Donald Trump says he doesn’t owe an apology to Sen. John McCain, who ‘let us down’",Right,Right
Germanwings Co-Pilot Practiced Crash Hours Before It Happened,Right,Neutral
"Germanwings Co-Pilot Appears to Have Tried to Rehearse Fatal Dive, Report Says",Left,Center
Investigators: Germanwings crash co-pilot tried a dry run,Left,Center
Russia moves troops and U.S. sends weapons as fear of war mounts in Ukraine,Left,Center
"Russia announces military exercises amid standoff with US, NATO over Ukraine",Center,Neutral
NATO chief announces alliance will not deploy combat troops to Ukraine,Right,Neutral
Multiple foreign nationals charged in alleged schemes to send military technology to Russia,Left,Center
Moscow says U.S. sanctions charges against 5 Russians are 'cynical' bid to intimidate,Center,Center
Russians Charged With Smuggling Millions Of Barrels Of Venezuelan Oil To China,Right,Center
Florida’s governor celebrated his anti-mandate Covid laws. Now Omicron is here,Left,Center
Does Florida Now Have Lowest Daily U.S. COVID Cases Per Capita?,Center,Center
"DeSantis Hails Major Florida Hospital System’s Decision To End Vaccine Mandate For 83,000 Employees",Right,Right
Jobless Claims Fall to 3.84 Million,Right,Neutral
30 million Americans have lost their jobs in 6 weeks,Left,Neutral
Over 3.8 Million Americans Filed for Jobless Benefits Last Week as States Struggle With Coronavirus Claims Surge,Center,Center
House approves bills tightening background checks on guns,Center,Center
House approves gun control bills expanding background checks,Left,Left
Schumer pledges Senate vote on gun bill passed by House: 'No more ... thoughts and prayers',Right,Left
Bipartisan U.S. lawmaker group to unveil $1.5 trillion COVID-19 aid bill,Center,Center
Rank-and-file House members achieve rare bipartisan consensus in bid to press Hill leaders to cut stimulus deal,Left,Center
Bipartisan lawmakers offer coronavirus relief solution in effort to break logjam,Right,Center
"Chris Cuomo mum on big brother’s scandal, observers say CNN botched chance to showcase journalism standards",Right,Center
The Cuomo brothers: Report places a new spotlight on a unique relationship,Left,Center
"Remember, the National Media Deliberately Chose to Celebrate Andrew Cuomo",Right,Center
"Trump Announces National Emergency, Expanded Testing, More Money and Flexibility on Virus Response",Right,Center
Trump declares national emergency to bolster funding for fighting virus outbreak,Left,Neutral
Here's what Trump's coronavirus emergency declaration does,Left,Center
"Trump may have been unclear, but Sweden experiencing a migrant crime wave",Right,Center
Amusement and bemusement over Trump's remarks about 'last night in Sweden',Center,Center
White House says Trump's Sweden comment referred to 'rising crime',Left,Neutral
Parler CEO: Tech Companies Coordinated Plan to Close Us Down,Right,Right
Amazon Is Booting Parler Off Of Its Web Hosting Service,Left,Neutral
"Amazon to drop Parler from its web hosting service, citing violent posts",Center,Center
"Postal Service future in question after first-ever default, lawmakers stuck on a deal",Right,Center
Postal service can't pay its bills,Left,Center
Pelosi to introduce resolution condemning Trump's 'go-home' comments,Right,Left
"As Trump doubles down on racist comments, House to vote on condemning them",Left,Center
Pelosi announces House resolution to condemn Trump's 'xenophobic tweets',Center,Left
"Support wanes for repeal of Obamacare, surveys suggest",Center,Center
Getting Repeal Right,Right,Center
"Unskew this! Desperate GOP Obamacare ploy fails, again",Left,Left
Saudi Arabia sentences five to death in killing of Jamal Khashoggi,Right,Center
"Saudi sentences five to death, three to jail over Khashoggi murder",Center,Center
Saudi Arabia sentences five to death for Khashoggi murder but clears three top officials,Left,Center
Trump campaign denies showing massacre in 'Church of Fake News' parody video at Doral,Right,Center
Macabre Video of Fake Trump Shooting Media and Critics Is Shown at His Resort,Left,Center
Fake video of Trump shooting media and political opponents shown at conference: New York Times,Left,Center
Roy Moore to Run Again for Alabama Senate Seat Despite Sexual-Misconduct Allegations,Right,Center
‘This place has enough creepy old men’: GOP vows to crush Roy Moore,Left,Left
How Roy Moore Could Actually Win Alabama’s Republican Senate Primary,Center,Center
Pence might share a ticket with Trump but not a worldview,Left,Center
CNN: Trump Considered Dumping Pence Late Last Night,Right,Left
Top GOP Operative: Mike Pence Once Thought Trump Was ‘Unacceptable.’ Now He’s The VP Pick.,Left,Left
"Unemployment rate drops to 13.3% in May, signaling return of US jobs",Right,Center
Dow rallies more than 700 points after shocking record surge in U.S. jobs,Center,Neutral
"May jobs report: US economy unexpectedly adds 2.5 million payrolls, unemployment rate falls to 13.3%",Left,Neutral
"America, Meet Your New Republican Bosses",Left,Left
"Obama, Congress prepare for new reality after GOP sweep",Left,Center
"Republicans take control of Congress: Can Obama, GOP end ‘perpetual conflict’?",Right,Center
Behind Mark Sanford's turnaround,Left,Center
5 things we learned from Sanford's win,Left,Center
Former S.C. Gov. Sanford headed back to Congress after defeating Colbert Busch,Right,Center
World remembers Holocaust as antisemitism rises in pandemic,Left,Center
Politicizing the Holocaust dehumanizes us all,Left,Center
Holocaust Remembrance Day – why we must never forget,Right,Center
Hong Kong protesters storm government building over China extradition bill,Left,Center
Hong Kong demonstrators storm government building amid protests on anniversary of return of Chinese rule,Right,Center
Hong Kong protesters smash up legislature in direct challenge to China,Center,Center
The Jones Act Waiver For Puerto Rico Just Expired And Won’t Be Renewed,Left,Neutral
White House lets Jones Act waiver expire for Puerto Rico,Center,Center
DHS won't extend Jones Act waiver for Puerto Rico,Right,Neutral
CDC urges kids ages 16-17 to get newly cleared boosters; your 3rd shot unlikely to be your last,Left,Center
"US expands Pfizer COVID boosters, opens extra dose to age 16",Left,Center
CDC Recommends All 16- and 17-year-olds Get COVID-19 Booster Shots,Right,Center
"Obama, Romney to break from trail ahead of debate",Left,Center
Presidential Debates: The One Area Where Campaigns Pitch Their Weakness,Left,Center
Campaigns launch into expectations game ahead of vital presidential debate,Right,Center
Video potential worry for Obama campaign,Left,Center
Conservative media coordinates on release of old Obama video,Left,Right
Video surfaces of Obama in 2007 suggesting racism slowed aid to post-Katrina New Orleans,Right,Left
ABC says interview with Epstein accuser wasn’t ready to air,Left,Neutral
ABC News’ Amy Robach claims network ‘quashed’ Jeffrey Epstein coverage on hot mic,Right,Left
ABC News Anchor Caught on Mic Saying Network Quashed Jeffrey Epstein Story,Left,Center
Trump delivers another blow to Fox News: 'Fox isn’t working for us anymore!',Left,Left
'Fox isn’t working for us anymore!': Trump slams Fox News for 2020 coverage,Left,Right
Warning signs for Trump as poll shows more think economy is getting worse,Right,Left
Pelosi says House to vote on resolution to limit Trump's military actions on Iran,Center,Center
Pelosi says House will introduce 'War Power Resolution' aimed to limit Trump's Iran military action,Left,Left
Pelosi moves to limit Trump’s actions in Iran with War Powers Resolution vote,Right,Center
Is Trump the Reason the Fed Is Cutting Rates?,Right,Center
Fed Looks Locked In for Quarter-Point Cut: Decision Day Guide,Left,Center
Fed expected to cut interest rates: What does it mean for you?,Left,Center
President ObamaÃ¢â‚¬â„¢s State of the Union: Aggressive,Left,Neutral
ObamaÃ¢â‚¬â„¢s State of the Union to highlight the plusses of progressive policy,Right,Left
Obama's second act: Why State of Union speech may do little to fix Washington,Left,Center
Carly Fiorina Opposes A Paid Maternity Leave Requirement,Left,Center
‘Shocker’ New Poll Says Trump Lost GOP Debate to Someone Who Wasn’t Even On Stage With Him,Right,Right
Carly Fiorina opposes paid maternity leave mandate,Left,Center
"Obama: ""He Did in 46 Years What Most of Us Couldn’t Do in 146""",Right,Neutral
'A man of character': Obama delivers emotional eulogy for Beau Biden,Left,Neutral
Obama Delivers Emotional Eulogy For Beau Biden,Left,Neutral
"Census Bureau announces 331 million people in US, Texas will add two congressional seats",Left,Center
Census Shows South and Mountain West Gain Political Power From Population Growth,Center,Center
Census data reveals population growth at slowest pace in decades,Right,Center
"FAIL: USA Today Fact Check Claims Trump Campaign Using ‘Nazi’ Symbolism, Faceplants Spectacularly",Right,Center
USA Today dragged for 'fact check' claiming Trump campaign sold shirts with Nazi symbol: 'This is moronic',Right,Right
